729000001001062608001Y  5311 #0001    N 21   12   BBBBADEECEDADABBDA BBBECDBEEADBCCDABEEACBCDEBAEEBAECDDDDDBEC
729000002001062608001Y  5311 #0001    N 21   48   BBCBDDC CEDCDDCEDB CDDECDDECCDBCBDCBABEABABCECBDDCACEAADDBEC
729000003001062608001Y  5311 #0001    N 21   28   BBDBDDBACEDDADBBCACEADBACCECEADBBEBEDDBDBABBACDDDCBCEAADEBEB
729000004001062608001Y  5311 #0001    N 21   31   BBDCDDBACEDBEDBBAAEECBEDDDADABAEBAABDAECBEABAECADDBCECACDBEC
729000005001062608001Y  5311 #0001    N 21    2   BBDBDDBACEEBADABCA ECDEDBBECECEDCBADEABABAEEAADBDCBCEACADBEE
729000006001062608001Y  5311 #0001    N 21   55   BBDBDDBCCEDBADBBBA ECDCCCCBDADCBCCEBDCBCBBEEDCDECBACEDAADBEB
729000007001062608001Y  5311 #0001    N 21   43   BBDCDDEDCEDCAEAEDD ACBDDCDEDCCBDCDBCAEBCCDEAAADDABBCEBAABAEC
729000008001062608001Y  5311 #0001    N 21    8   BBDBADABDEDBDDCAABABDCDDDBBCEBAEBDABAABBDEEBDCDDDBBCEAADDBBC
729000009001062608001Y  5311 #0001    N 21   49   BBEBDDBACEDCBEBBCADADDCCCACECBCBCDEACBDBEBCADACEDBBCEDAEDAEB
729000010001062608001Y  5311 #0001    N 21   44   BBBBDDBACEADADDBBACDDDBCBCBCCDDBCCEBEBCCCADECCDDDCBCBDDCDBEA
729000011001062608001Y  5311 #0001    N 21    7   BBEBEDBACEDBBDBDCBBEDBECDACCCAEDACDCDDBABCBADCDADCBCDAAADBEC
729000012001062608001Y  5311 #0001    N 21   52   BBEBDDEEAEEBEDDEDBDCAECCEABBBDCCDEEDDEBACBCBCBDEDBBABECABBBD
729000013001062608001Y  5311 #0001    N 21    9   BBDAADCBCEDDBACCAB*DABECBDEDCEADABBADCEADDBBAACDECDAEDDCEAEC
729000014001062608001Y  5311 #0001    N 21    3   EBDBDDEABECBCBAACCEDCDCCBDCECDEDCCACEBDBEDCABCBDDBCCABAEBBBA
729000015001062608001Y  5311 #0001    N 21   40   BBBBBDAAADDABDAACEEBDDCCBDCDCDBCCDEEADDDDDEBAECDDABCDDADBADC
729000016001062608001Y  5311 #0001    N 21   56   BBEBEDBEACDBEEAECB ABCBDEBDCBCDBCABBAEEACACACACEDACDECABDAEB
729000017001062608001Y  5311 #0001    N 21   23   BBDBDDEECEDBAEBBEA DCDBDCCDBBCBEBEBCCBBCCEEACCDDDCBCECAEDBEC
729000018001062608001Y  5311 #0001    N 21   32   EBDBADCBAADABDAEEE EBDBCCDBCAEDDCCEBBAABAEEBACDBDABCBEADDBEC
729000019001062608001Y  5311 #0001    N 21   57   ECDCDDBADCECCDAACBEDCAEBBBEBEDCBCCAACECACDADBEBEDBCEEDDABBEB
729000020001062608001Y  5311 #0001    N 21   25   ECDBBABECEDCDDAECEEAAEBCCDBDBDDDBCEBDABECBDECDEBCACCDEADDBEA
729000021001062608001Y  5311 #0001    N 21   47   BBDBDDECCEDBADBBAE DBDECCCECBDDEBADDDBBDCCBBDCCDDABCEDDDDBEC
729000022001062608001Y  5311 #0001    N 21   16   BBDBBCEECEEBADBECBCADDACEDCECABCDAEBDACEDDDDEADEBDECBACDBAEC
