729000001001062608001Y  5311 #0001    N 3    1    BABCCBBCDDAEBBCCADBBDBCEBCCCDBBBDBBEDCBECBDCEEACCDAEBCCDBCEB
729000002001062608001Y  5311 #0001    N 3    3    AABCCCDACDAABDCBDBBADCAABBDEAEBEDABECCBBCBCAEBBBCADCDEBDCCCD
729000003001062608001Y  5311 #0001    N 3    18   DDBDEBDCCAACCCCBEBBBDBBBBECCAEBBDABBCCCBBAADBADACACCBCCBACDC
729000004001062608001Y  5311 #0001    N 3    24   BBADCCDAEDACBCEBADBBDACDBDABADCEDBBECCCBCBBCEAADCDDBCEBDBCAC
729000005001062608001Y  5311 #0001    N 3    26   ADBACCAADCAABBDCEDDCDABEBDAEDBBADBBEDDBBCBBEEAABCDDCCEBCECBC
729000006001062608001Y  5311 #0001    N 3    33   DABCBDADBCADBCEBADBBABCEADCEBDBCDBBBDCBECDACEAABCDCCAEBDCCDB
729000007001062608001Y  5311 #0001    N 3    28   ADBDECAADCBCBEDCDDACBACEDBDEABBADBCADDAACABDEACBCDDCAECBDACA
729000008001062608001Y  5311 #0001    N 3    19   CBEDECAADDAEDAEDBBABDCACDDDEABBEDBBECCBBCBDEEAABDDDCBDCBBCEA
729000009001062608001Y  5311 #0001    N 3    32   DABAABDBECBDBBDDEDDCDCDDDDDBDEBEDBBACACDCBBCEADDCDEBBBCDABCA
729000010001062608001Y  5311 #0001    N 3    23   DAACCCCADADEBABDBBDDDCCBEACDBDDCECBABEBECBDCEAABCEDCCCCBBCCB
729000011001062608001Y  5311 #0001    N 3    27   ECEECBDABDACEBDDBCDDACBCBDCDEDAEDABEDCABCADAEAADCDDCDEBDCBCA
729000012001062608001Y  5311 #0001    N 3    15   ECADCCAADCACBACBABBBEABCCCEEBCBEDABBDBCDCDCBEABECDCAEABDDCCA
729000013001062608001Y  5311 #0001    N 3    12   EECDEBAADBCEBDEBDCEBABACACEDBCBEDBBEDBBBCEDEEACBCDECCCABDCCD
729000014001062608001Y  5311 #0001    N 3    21   BBACECDCBDCCBCDDEEACADCAEAECCCDADABBDAEACBACEABDDDDCEDCBBCEC
729000015001062608001Y  5311 #0001    N 3    9    CCBDCCAADCACBACBCABBDACDEBBBBBBBDABBCAADCBAEEABBDCEBADBCCBBA
729000016001062608001Y  5311 #0001    N 3    7    DCABCCAABBAEBCBDBDEDDCBEBCDDDDCEDBBBCABECADBEDBBCDEEBCCBACDA
729000017001062608001Y  5311 #0001    N 3    34   BEBCCCAAEADCEDCBBBCBACEEBDCEBDBEDBAEACBECBABEABBCDDBEEABBDCD
729000018001062608001Y  5311 #0001    N 3    8    DDECCBCAEACADCEDECBDCCEADEEDBCBBBCBDBECECCBBAADADCEDEDDCADDE
729000019001062608001Y  5311 #0001    N 3    13   AABDCCECDBABBAEBECACDADACDACEABBEBBEBACBCBDCECEBBDCCBECBBC A
729000020001062608001Y  5311 #0001    N 3    30   DEBECAEBCABBEEBBBCDCAACEBDEADBBEABBBBACBCBDEEAADDEBECABDACAA
729000021001062608001Y  5311 #0001    N 3    22   CCCCCCCCCCCCCCCDDDDDDDDDDDDDDDBADBBEDCBECBAAEAABBDBBBBBBBBBB
729000022001062608001Y  5311 #0001    N 3    25   CBADCBCCCBAEBDDBADBDDBCCAECABDBEDBCECCBDCDDAEDCBCDDBCEADDBCD
729000023001062608001Y  5311 #0001    N 3    35   DEBCAEDDBCAEDBABEBBDEDABEBDDEBBBDEADBBBECEBEDAAEDECDEDCBCBAC
729000024001062608001Y  5311 #0001    N 3    11   DCBCBCDABDACABECBCBEDCDEBCECAEDBEAAEDCBECBDDEEBBADDCEDBAACEA                                                                       
729000026001062608001Y  5311 #0001    N 03   16   BCBDDCBCECDBADBABBEACCACEBBDBBBAAEBEDCABBBBDBBDCCCABACCDBEBB
729000027001062608001Y  5311 #0001    N                                                                       
729000028001062608001Y  5311 #0001    N                                                                       
729000029001062608001Y  5311 #0001    N                                                                       
729000030001062608001Y  5311 #0001    N                                                                       
729000031001062608001Y  5311 #0001    N                                                                       
729000032001062608001Y  5311 #0001    N                                                                       
729000033001062608001Y  5311 #0001    N                                                                       
729000034001062608001Y  5311 #0001    N                                                                       
729000035001062608001Y  5311 #0001    N                                                                       
729000036001062608001Y  5311 #0001    N                                                                       
729000037001062608001Y  5311 #0001    N                                                                       
729000038001062608001Y  5311 #0001    N                                                                       
729000039001062608001Y  5311 #0001    N                                                                       

