729000001001062608001Y  5311 #0001    N 31   54   CDDBCDCEAAAAAADDCCDEBACCACBDABCBEBCECCEBBBDABECDDDEDADACBBBD
729000002001062608001Y  5311 #0001    N 31   3    CCBBEACACCBADBBDCCADDDAEBCCDADACBBABADEBCEBBEEBBBAEBCBCDBACD
729000003001062608001Y  5311 #0001    N 31   6    EBAEBCCBACACABABCBCEBABCCCBBCBEAEDBADBDDBBABCBDDCABDBDDBDCBE
729000004001062608001Y  5311 #0001    N 31   10   ADBAADCABEDACAADDBACEABCEBECAADCACEDACEDBDDEEBEBAEBBBEDDCBDA
729000005001062608001Y  5311 #0001    N 31   11   CDCBEDCDBDAECBCADCCCBDACBDBDEEDADBCBDCAEABDBAEADCEDBCCCCDBCA
729000006001062608001Y  5311 #0001    N 31   13   DBBBBDDDCCACACEBCACBDDBDCBCCCBDDCEDCEDBABEDBBCAEEEADADDCBECE
729000007001062608001Y  5311 #0001    N 31   25   CAEBDEBAAADBAEDDCBECACBCBBBBBEDAABCEABBDBBADBBCCCEEBABEBDBBA
729000008001062608001Y  5311 #0001    N 31   28   ADBECDCCBBACABBDEDDCBCECEEDCCBCAEDADEDACBDDABCADECDBBDCECBCC
729000009001062608001Y  5311 #0001    N 31   30   ACABCCD BEEBADADDBECDDBCABCBCAAEBBADECBDABCBAEDDDEBBDAEDABCC
729000010001062608001Y  5311 #0001    N 31   33   CDCACDCBADBAABDDDBADBCDCEBBCCAEAABCBACDABBDABEACBEDBADDCADDD
729000011001062608001Y  5311 #0001    N 31        DBADAEDBBDBBACEDDBABDCCBBCBBCEACDCEDBBDCBABAACDBEEAABBCBABDD
729000012001062608001Y  5311 #0001    N 31   38   CABBACCDEBECABBDCBAEDABCEABBACAECCDCDCCBBEBBBDABCBACDEDABDEC
729000013001062608001Y  5311 #0001    N 31   39   EABDBACBBCBBAACBDDEDEDCDEDCCBACCCCEBCCECBEDBBCADCCECBADAEDAC
729000014001062608001Y  5311 #0001    N 31   47   EBEABCCCBCBEAEBACDADDDECEDBAEEECDBDBBBDCBBDAABADBEABCDCBCEAD
729000015001062608001Y  5311 #0001    N 31   49   CCBABBCDECBADCBCCCADDDBCBDBDCEBCBBABDDACBDBDBDDECEAABEDDCECE
729000016001062608001Y  5311 #0001    N 31   50   ADAAEDCAEBEAACDACEADACBDEBEADA BABDDACEDCABAEDAEBEEBBEDECAEB
729000017001062608001Y  5311 #0001    N           EDBACBCDBABBADEAADDCADDCBCBBEEEBADEDCBBDDEDBDDCABCAAADDDBCCA
729000018001062608001Y  5311 #0001    N 31   20   CDBBADCBADECAEBDCBAEDABCEABBACAECEDDDCCCBEABBDABBBACDEDBECBD
729000019001062608001Y  5311 #0001    N 31   16   EDCADBDEAEABAABB    ACDDECBBBECEABDC ADDBECBBDDBAEBACBAABEAB
729000020001062608001Y  5311 #0001    N 31   15   DADCBBCBCEDBACDEDBCCBCCCDCEBCCBCBBCDCDDBBEACBBCEDCECCCCDCCED
729000021001062608001Y  5311 #0001    N 31   5    ACBAEDBBBCBBABBABBDCAEBCBDBBAEAACACEDBABBBDBBDDBBEAABECDBECB
729000022001062608001Y  5311 #0001    N 31   42   ABBCBAEBAACCEADADEDDBDCCBCEBBECDBAABBBBCBBABAEECDCDEADEDCCBD
729000023001062608001Y  5311 #0001    N 31   17   DBABBDCBAABBAADACCCCDACABCCBBBCCBEDDEDDBBBACDECDBCADCBDCACBE
729000024001062608001Y  5311 #0001    N 31   26   CCCDDABBAACCDDBDCADDCCCCEBBBBECCEBEDCBEDDEDBACADDCBBDDEDCDBD
729000025001062608001Y  5311 #0001    N 31   46   CACACBEBADACBCDDCBAEDDDCBCBACCABEDEAADEBBBDBBEECBCBBBAEEDACC
729000026001062608001Y  5311 #0001    N 31   4    ACBBAACBBDCEBEDDCBAADDBCDAABADAEDDECEABCBDDBCABECBBAEBDDEBAD
729000027001062608001Y  5311 #0001    N 31   9    CDEDADBBACEAADBACBACBDBCCABCBACACDBCADADACAABBECDBDBCEDAEEBD
729000028001062608001Y  5311 #0001    N 31   40   DABDBACDBCAEACCEABEDADDCBABDACEADABAADBAAEDBBDABCCBBAEABCACE
729000029001062608001Y  5311 #0001    N 31   19   ACBBCDCDECBDDCABCBCADDDDCCABCBBA ADDEEECAADBBDABBDECEEEAABEB
729000030001062608001Y  5311 #0001    N 31   51   CDBAACCBACECCAEDCBEADCDDECBBBEADADEDDABCBEDABCADCCEAAACEABEE
729000031001062608001Y  5311 #0001    N 31   21   ECDCEDCDACBBAEEDCBADEDBCCCCBDDAEEDABDEEEBDDABEABABBBBACDCBAC
729000032001062608001Y  5311 #0001    N 31   48   EABDBBC DECAEBCBBBACAACDBDC BEDC CDABDAAABCBECABDAEDEACEBEDA
729000033001062608001Y  5311 #0001    N 31   52   AACBEACDACDCEBDABAEEEDCDACCDACCCEDABAEADBEDBECACBEDBABCECBDB
729000034001062608001Y  5311 #0001    N 31   8    CACBBCCBAABCCCABDBDDEADAACCCABCCDDDAEEDAAEABBDADEAABBCCCDDDE
729000035001062608001Y  5311 #0001    N 31  22    CACCDBCBDDCABEEBCBEDAADCECCDDDABCDADDCCCDBDBADAABAEBDCECCBBA

