729000001001062608001Y  5311 #0001    N 11   1    DABDAEDDBBADCCCBAACDCACEACBABCBDAACBDDADACABDDADBEAEBBADBACC
729000002001062608001Y  5311 #0001    N 11   2    DCDCAEDABCBEAEAABADCBBEDBBCBBCAACACAD ADBEDDCADDBEBDBECDBCBB
729000003001062608001Y  5311 #0001    N 11   3    BCDCAEDACEDACCCBABACADDECABBDDAABAACABEBCAECBAEDBEAEEACACCBB
729000004001062608001Y  5311 #0001    N 11   5    DEBCAEDAACAEACCABAECAAAECDBDAE DACECACEDCABDAEDCDEAECACABDAD
729000005001062608001Y  5311 #0001    N 11   6    DADCEEDACCBAACCACADCCDCBDCBBBEBDAACAD AACCBACCDDEABEEDACBBCB
729000006001062608001Y  5311 #0001    N 11   7    DCDCAEDABECACECDACACABDEDEBCBDACBAACDBEBCAEABAADBEACBECACCBC
729000007001062608001Y  5311 #0001    N 11   9    DCDCADDABAAEAECACCBCBAADACDBEBACAADAD EDBDBCADDCBEAEBCCCABBA
729000008001062608001Y  5311 #0001    N 11  10    DABCDEDAEBDAAEBCAABCADBEBCBBBDABAAACDCDBDBECBEACACCDAACCACAD
729000009001062608001Y  5311 #0001    N 11  11    DCDCABDAEBDBAADACACCEACDCBBBCDACABECD BCBDEBCCEDBEDAEBEDBCBD
729000010001062608001Y  5311 #0001    N 11  12    DADCAEDDBBAAAEABAADCABAEDCABEEDDCAEDAACCCDDBACACEBDACACAECCB
729000011001062608001Y  5311 #0001    N 11  13    DAECBEDDEBCAAEAAABDCAAAABCABBDADAABADBDADCBBCDBDEEAEEBAADAAD
729000012001062608001Y  5311 #0001    N 11  14    DACCDEDABCDDCACDAAACBBCDCCABCDAAAAACD EDABBBBDDDCEEBBDCCBBBA
729000013001062608001Y  5311 #0001    N 11  15    DABCDEDDEEAEBEABAABCDACEDCBBEECCAACADCAAAEECDAADBEBEEDCBBAAD
729000014001062608001Y  5311 #0001    N 11  16    DBBCAEDABCCDAEACCABACEADCABCECADAACDACBCBCDBABDDBEBDADCCBBBE
729000015001062608001Y  5311 #0001    N 11  17    DAECDEDDCBAEACCBDADCEACDBCBAECADAABDDCADECEBCCDCECBEDDCCABAA
729000016001062608001Y  5311 #0001    N 11  18    DADCEEDACBDACECDAABCADCDCCCCCEACAECCEBCAAAEADCADDEAEBCCBBCCA
729000017001062608001Y  5311 #0001    N 11  19    DABCAEDDABBDDCCBBABCBAECDBBDBADDAABCEAECCDDABBADBEAABACCACBC
729000018001062608001Y  5311 #0001    N 11  20    DAEDBEDDCEBEAEABABDCDDDDBCBCCEADACBCABDDDCBBCEADBEDEBAAADCBC
729000019001062608001Y  5311 #0001    N 11  22    DADCBEDABCBDCEADCEDCCAADCEBBEAADABACACEDBCEADCDAEEEDDCACBDBB
729000020001062608001Y  5311 #0001    N 11  23    BCECAEDABBAEACABABECEADECAADEDACAAEEDBADEBEADEADBECDBECCCDBA
729000021001062608001Y  5311 #0001    N 11  25    DCECAEDACABAAEAAAABCBADDBCBBCDABCACCDBBDBDAACEDAAEAEBDADCACC
729000022001062608001Y  5311 #0001    N 11  27    DCECAEDABCAEADCAAEDCABADECCBECBDAABADCADBDBEECDDBACDBECAECBA
729000023001062608001Y  5311 #0001    N 11  28    DABCAEDABBBECEADADDCBBADACABBDACAACADCADADEBCCADBEDEEECACCBC
729000024001062608001Y  5311 #0001    N 11  29    DAACDEDABCCECCEDAAABDBCDDCBBAAAAAACAD CDCDEACCDDBEDAECADBBED
729000025001062608001Y  5311 #0001    N 11  30    DAECAEDAABEAAEAAACACADADCBECEDABACACBCEDCCDBEEBDBEDABCEAAAAE
729000026001062608001Y  5311 #0001    N 11  31    DAACAEDAEBEAAEBAACBCBDCEBCBCEDDBECECD AEDBEBDAADBEDEECACBBBA
729000027001062608001Y  5311 #0001    N 11  32    DABCAEBDABACDEACAEBDACBEAACBACBCCDDCDBECBCEDDE ECABCDECADBEC
729000028001062608001Y  5311 #0001    N                                                                       
729000029001062608001Y  5311 #0001    N                                                                       
729000030001062608001Y  5311 #0001    N                                                                       
729000031001062608001Y  5311 #0001    N                                                                       
729000032001062608001Y  5311 #0001    N                                                                       
729000033001062608001Y  5311 #0001    N                                                                       
729000034001062608001Y  5311 #0001    N                                                                  
