729000001001062608001Y  5311 #0001    N 22   7    BBDBDDBCCEDCADBBAACEDDEABCEBCCCDBCDCDBDCBEEAACDDDCBCEEAEDBEB
729000002001062608001Y  5311 #0001    N 22   16   BBDBDDBACEDEEDBECCAEBCBDBAAEECACBBDADABDCACBAADDDCCCEAADDBEC
729000003001062608001Y  5311 #0001    N 22   14   EEBBDDEECEDEBDAECBCCABACCEECDECBBAAEEEBCEAEAAEDEABBCEEADDBEA
729000004001062608001Y  5311 #0001    N 22   33   BBDBDDBECEDCAEABCEAAADDACACAECABECBDAABCDEEBABBEDEBCECDEDBEC
729000005001062608001Y  5311 #0001    N 22   23   BBEBDDECCEDBBDCEAECCADAABAEDCCAAEEBBADBBCEBBDAEECABEEDADDBEC
729000006001062608001Y  5311 #0001    N 22   48   BBBCDDCBCCDEADEEDDCBCCAAABBCDCBBCACDBDADDDCABBBEDEECEDADDBEC
729000007001062608001Y  5311 #0001    N 22   24   BADBDDCACEDCAEABABCACDBCBCECEDCDCEBDEBDCBBECEADDDCACEAEDDBEC
729000008001062608001Y  5311 #0001    N 22   46   BBDBDDBCCEDBEDBBEADEEDBAACECCCBCBBBCBDBCABAAACDDDDCCEAEDDACC
729000009001062608001Y  5311 #0001    N 22   10   BBDBDDADCEDCAEDBDBCACDBCBCECEDCDCEBDEBDABAECEADDDCACEADEDBEC
729000010001062608001Y  5311 #0001    N 22   38   EEDBDBDDBDDBDABECDBDDDBBCABBBBCDBABBEBABCABABCCCDBBADAADDBEA
729000011001062608001Y  5311 #0001    N 22   5    BCEBDDDACEDBAEBEEADCCDDCDCAEACDBCAEDCDBDBBBCBCBDDBCCECACDBEE
729000012001062608001Y  5311 #0001    N 22   19   BBDBBDACCEDCBACBBCBDCCDCBBBDBCBECEBDDCBEBADAAAEABCBCBDDADBEE
729000013001062608001Y  5311 #0001    N 22   20   BBDBDCECCEDBAEBBCACEBDBCDABBBEEAAEBADDAABBEAAEDEDCBCEABEDBEC
729000014001062608001Y  5311 #0001    N 22   42   BBDBDDCBCEDCDEBEDADCCDBBCCDBACCBCCCBDDBCDEDADABEBBDCEEDDDBEC
